,method,reproj_threshold,confidence,inlier_ratio,inlier_ratio,computation_time,computation_time
,,,,mean,std,mean,std
0,LO-RANSAC,1.0,0.95,0.6023391812865497,0.0,0.0033057904243469238,0.0004293996152155237
1,LO-RANSAC,1.0,0.99,0.6023391812865497,0.0,0.005162343978881836,0.0006359703962544441
2,LO-RANSAC,2.0,0.95,0.6023391812865497,0.0,0.003312363624572754,0.0004256166349647028
3,LO-RANSAC,2.0,0.99,0.6023391812865497,0.0,0.00515714168548584,0.0006631029099998503
4,LO-RANSAC,3.0,0.95,0.6023391812865497,0.0,0.003308274745941162,0.0004060083706403583
5,LO-RANSAC,3.0,0.99,0.6023391812865497,0.0,0.005088064670562744,0.0005833750378927768
6,MAGSAC,1.0,0.95,0.4619883040935672,0.0,0.002174983024597168,0.0007328567930018138
7,MAGSAC,1.0,0.99,0.4619883040935672,0.0,0.002475249767303467,0.0003935437337743937
8,MAGSAC,2.0,0.95,0.5029239766081871,0.0,0.0017537999153137208,0.000278534618740348
9,MAGSAC,2.0,0.99,0.5029239766081871,0.0,0.002076742649078369,0.0003538821678720012
10,MAGSAC,3.0,0.95,0.5146198830409356,0.0,0.0013567543029785157,0.0002255527877821388
11,MAGSAC,3.0,0.99,0.5146198830409356,0.0,0.0018472075462341309,0.0003055495082934357
12,PROSAC,1.0,0.95,0.6023391812865497,0.0,0.0033201122283935546,0.00037519549312411564
13,PROSAC,1.0,0.99,0.6023391812865497,0.0,0.005113029479980468,0.0005477193562486163
14,PROSAC,2.0,0.95,0.6023391812865497,0.0,0.0033259153366088866,0.00044325192422208897
15,PROSAC,2.0,0.99,0.6023391812865497,0.0,0.005184543132781982,0.0007233931848260203
16,PROSAC,3.0,0.95,0.6023391812865497,0.0,0.0032981753349304197,0.00042664422139254417
17,PROSAC,3.0,0.99,0.6023391812865497,0.0,0.0051069164276123045,0.000627053172483
18,RANSAC,1.0,0.95,0.42105263157894735,0.0,0.014693636894226075,0.003156428172005816
19,RANSAC,1.0,0.99,0.42105263157894735,0.0,0.01429762363433838,0.0022691782660650426
20,RANSAC,2.0,0.95,0.47368421052631576,0.0,0.007744982242584229,0.001051545114362543
21,RANSAC,2.0,0.99,0.47368421052631576,0.0,0.011785745620727539,0.00146519798055245
22,RANSAC,3.0,0.95,0.48538011695906425,0.0,0.006369829177856445,0.0007838125150580022
23,RANSAC,3.0,0.99,0.48538011695906425,0.0,0.009881529808044433,0.0011601103418272156
